0,Fecha,Hora,Usuario,Nota Técnica
3721,5/27/2022,10:27:12,nico,tiene un corto vdd boost es algo parecido a vcc main pasar 18k
3721,5/27/2022,10:27:54,nico,puede tener más cosas
3721,5/27/2022,13:41:49,Marce Scana,"No lo repara traer al obe"
3757,6/3/2022,12:9:40,Marce Scana,"paso por otros servicios tecnicos puede ser la nand"
3757,6/13/2022,15:7:13,lolo,"tira error 2009 pero no se pudo poner en modo purple así que no sabemos si tiene info el ic de carga está bien bajar la nand para saber si tiene parametros y si activa compramos los parámetros"
3757,6/22/2022,15:34:3,Jeibito,NO SALE
3873,7/6/2022,11:13:58,lolo,"vino prendida? No carga bien y no hace nada hay que abrirla. Está contemplado que se pueda rayar/romper la panta??"
3873,7/11/2022,10:8:55,Marce Scana,"el cliente asume riesgo por el vidrio ok para avanzar"
3873,7/14/2022,16:10:17,Marce Scana,"no sale esta hecha pija vender un ipad"
3873,7/15/2022,10:1:33,lolo,"no sale suerteeeeeeee"
3984,8/8/2022,15:31:12,lolo,"no le encontramos la falla. le hicimos limpieza presupuestar algo por la limpieza se los dejo a Facu para que los pruebe en el viaje al obe a ver si fallan"
3992,7/28/2022,14:44:47,lolo,"avisar que tiene muchisimos problemas primero hay que revisarlo compelto antes de pasar presupuesto. Pero el cambio de vidrio trasero no es el mayor problema. no se cuanto tiempo le pasaron que iba a estar hecho pero no va a estar ni en pedo para ese momenot explicar la situación de que está mojado y hay que revisarlo entonces nosotros le vamos a hablar cuando esté el diagnostico hecho"
3992,8/2/2022,15:38:20,Jeibito,"no sale esta hecho pija por dentro"
4007,7/28/2022,13:1:17,lolo,"es un iPhone 13. Está en garantía lo compró el 4 de enero del 2022. Pasar por apple antes pedir contraseña del apple id: ""juanguerchi@gmail.com"" para desvincularlo del iCloud"
4007,7/28/2022,17:57:38,Jeibito,VOY PIDIENDO ESO
4007,7/28/2022,17:57:41,Jeibito,PUEDE ESTAR HUMEDO....LO MIRA RAFA
4007,8/1/2022,14:29:47,Señor Rafa,Presupuestar 28k
4007,8/1/2022,14:29:55,Señor Rafa,si acepta sacar el apple id.
4007,8/3/2022,14:13:8,Jeibito,confirmado
4007,8/5/2022,14:30:51,nico,se mando a apple
4007,8/9/2022,10:50:30,Jeibito,esperando que llegue de apple
4007,8/10/2022,11:8:16,Jeibito,VINO PERO SIGUE IGUAL
4007,8/10/2022,11:8:31,Jeibito,OFRECIMOS REEMPLAZO DE EQUIPO Y ESPERAMOS A QUE TB CONFIRME
4007,8/11/2022,10:27:24,Jeibito,"CLIENTE QUIERE GUARDADR LAS FOTOS BAJAR GOOGLE FOTOS Y GUARDAR FOTICOS. TIENE MIL NOMAS SALE CON FRITAS"
4007,8/11/2022,14:12:28,lolo,"le quedaron 100 videso y 150 fotos para subir nole alcanzó el almacenamietno de google. Decir uq ecompre más espacio en google fotos y se las subimos"
4007,8/11/2022,15:41:53,Jeibito,YANCOMPRO ESPACIO
